Year,Month,Product_ID,Country,Sales
2016,1,3,Columbia,534.24
2014,9,4,England,181858.13999999998
2014,3,1,Columbia,137.15279999999998
2016,1,2,Columbia,1152.0
2014,2,2,Denmark,0.0
2013,5,4,England,9092.907000000001
2014,5,1,Columbia,22.858800000000002
2014,9,2,Columbia,384.0
2013,10,4,Finland,693014.3999999999
2014,4,2,Denmark,0.0
2014,3,1,Argentina,468720.0
2015,5,1,Columbia,267.12
2013,5,1,Columbia,822.9216
2016,1,2,Belgium,469392.04399999994
2015,9,4,England,90302.22
2013,5,2,Columbia,38.4
2015,11,1,Argentina,117180.0
2016,7,3,Columbia,0.0
2016,3,2,Denmark,0.0
2015,10,3,Argentina,78120.0
2014,4,1,Columbia,205.7304
2015,11,2,Columbia,76.8
2015,7,4,Finland,2667367.508
2014,11,4,Finland,3782809.4771999996
2014,10,1,Columbia,89.04
2016,2,2,Columbia,768.0
2013,3,2,Columbia,0.0
2015,4,1,Columbia,89.04
2014,3,2,Denmark,104736.764
2014,12,2,Denmark,0.0
2014,2,2,Columbia,38.4
2015,5,2,Argentina,0.0
2014,4,4,Finland,7711094.2272
2015,9,4,Finland,8778021.979999999
2014,2,1,Columbia,761.20248
2016,2,2,Belgium,117348.01099999998
2016,2,2,Denmark,0.0
2015,7,1,Columbia,178.08
2013,4,2,Columbia,307.2
2014,3,5,England,735832.35
2013,7,4,Finland,3049263.36
2015,9,2,Denmark,0.0
2014,7,2,Belgium,661844.6449999999
2014,12,2,Belgium,1323689.2899999998
2014,12,5,England,24362.0775
2014,4,1,Columbia,68.57639999999999
2013,2,1,Argentina,781200.0
2013,11,1,Columbia,20.573040000000002
2015,10,4,England,1354533.3
2014,6,2,Denmark,0.0
2013,12,1,Columbia,61.719120000000004
2014,10,2,Denmark,104736.764
2014,2,2,Columbia,38.4
2013,4,1,Columbia,411.4608
2013,3,1,Columbia,41.146080000000005
2013,5,2,Columbia,230.4
2013,8,4,Finland,623712.96
2013,1,2,Columbia,38.4
2014,11,1,Columbia,178.08
2014,5,1,Columbia,20.573040000000002
2014,6,4,England,45463.6395
2016,1,1,Columbia,35.616
2013,4,2,Columbia,384.0
2015,4,1,Columbia,178.08
2014,6,1,Columbia,411.4608
2013,12,1,Columbia,20.573040000000002
2014,10,2,Columbia,76.8
2013,4,4,Finland,3742277.76
2014,10,4,England,4547.349
2016,5,3,Argentina,46872.0
2015,2,1,Columbia,142.464
2014,11,4,Finland,4728475.751999999
2014,4,1,Columbia,20.573040000000002
2015,4,2,Denmark,0.0
2014,6,1,Argentina,464814.0
2013,11,4,Finland,1129613.472
2014,4,2,Columbia,38.4
2014,1,4,Finland,1161492.1343999999
2016,2,1,Columbia,445.2
2015,2,2,Columbia,230.4
2014,4,4,Finland,26164261.369999997
2014,5,1,Argentina,105462.0
2015,3,1,Columbia,142.464
2015,5,1,Columbia,267.12
2015,1,3,Columbia,22.858800000000002
2016,1,3,Columbia,71.232
2015,8,1,Columbia,356.16
2014,12,4,Finland,9068991.776
2013,12,2,Columbia,38.4
2015,4,4,Finland,23060487.294
2016,11,3,Argentina,3906.0
2015,12,2,Denmark,0.0
2013,9,1,Columbia,205.7304
2016,9,3,Columbia,71.232
2015,7,1,Columbia,89.04
2013,10,1,Columbia,61.719120000000004
2014,11,2,Columbia,-76.8
2014,5,2,Denmark,0.0
2014,2,2,Denmark,0.0
2013,4,1,Columbia,20.573040000000002
2013,9,2,Argentina,70966.29119999999
2013,2,2,Columbia,460.8
2015,5,2,Argentina,609127.3328
2014,8,2,Denmark,157105.146
2015,9,2,Columbia,76.8
2013,11,2,Columbia,38.4
2014,6,2,Denmark,-22039.815599999998
2013,9,2,Belgium,529475.716
2013,11,2,Denmark,49874.6444
2013,7,2,Denmark,0.0
2015,11,2,Belgium,397106.787
2015,10,4,Finland,33414715.984
2014,9,5,England,1152804.015
2013,11,4,England,9092.0115
2015,1,2,Denmark,0.0
2015,9,2,Columbia,307.2
2014,3,2,Columbia,422.40000000000003
2015,10,2,Columbia,576.0
2013,4,2,Columbia,76.8
2014,5,2,Columbia,1267.2
2013,4,1,Argentina,1456938.0
2014,1,1,Columbia,0.0
2013,1,2,Denmark,0.0
2013,12,2,Columbia,422.40000000000003
2013,9,2,Belgium,661844.6449999999
2015,7,1,Columbia,17.808
2016,1,2,Columbia,38.4
2015,9,1,Columbia,0.0
2014,4,4,England,181858.13999999998
2014,9,4,England,45464.534999999996
2014,8,2,Argentina,455367.0352
2015,1,3,Columbia,22.858800000000002
2015,4,1,Columbia,53.424
2013,6,1,Columbia,20.573040000000002
2013,4,2,Columbia,307.2
2013,7,1,Columbia,41.146080000000005
2014,7,2,Columbia,0.0
2013,9,5,England,14717.5425
2014,3,4,Finland,1815697.728
2013,1,2,Columbia,0.0
2015,9,2,Columbia,960.0
2014,3,2,Denmark,0.0
2016,3,1,Argentina,3906.0
2013,9,1,Columbia,102.8652
2014,8,1,Argentina,2062368.0
2015,4,1,Columbia,267.12
2015,9,1,Columbia,53.424
2015,8,2,Denmark,0.0
2014,1,2,Columbia,921.6
2015,12,2,Denmark,0.0
2016,7,3,Columbia,17.808
2013,2,2,Columbia,115.2
2015,9,3,Columbia,35.616
2015,2,1,Columbia,445.2
2014,4,2,Columbia,230.4
2016,1,2,Denmark,0.0
2013,7,1,Columbia,164.58432000000002
2013,11,4,England,932027.445
2015,4,2,Columbia,460.8
2015,7,4,England,1083626.64
2016,1,2,Argentina,331176.0256
2014,2,2,Denmark,0.0
2016,6,3,Columbia,-11.1
2016,1,2,Belgium,704088.0659999999
2013,11,5,England,19621.3005
2014,12,2,Denmark,0.0
2014,9,1,Columbia,142.464
2014,8,2,Denmark,52368.382
2015,1,2,Columbia,192.0
2015,11,2,Columbia,115.2
2013,3,5,England,122638.72499999999
2015,2,1,Columbia,1210.944
2013,12,1,Columbia,0.0
2013,12,2,Denmark,0.0
2013,6,1,Columbia,123.43824000000001
2014,9,4,Finland,3445762.2446
2015,12,1,Columbia,356.16
2016,5,3,Argentina,585900.0
2013,4,2,Columbia,0.0
2015,9,1,Columbia,17.808
2015,8,2,Columbia,345.6
2015,4,2,Argentina,17741.572799999998
2015,6,2,Denmark,0.0
2015,7,2,Denmark,0.0
2013,4,2,Denmark,4987464.4399999995
2013,2,1,Columbia,45.717600000000004
2013,11,2,Columbia,76.8
2014,9,2,Denmark,0.0
2015,10,1,Columbia,178.08
2013,11,1,Argentina,328104.0
2013,12,2,Denmark,1496239.3320000002
2015,1,1,Argentina,253890.0
2015,7,1,Argentina,0.0
2013,10,2,Columbia,768.0
2015,6,3,Argentina,1031184.0
2014,12,2,Denmark,164960.484
2013,7,1,Argentina,11718.0
2013,11,1,Columbia,61.719120000000004
2013,6,2,Argentina,17741.572799999998
2014,9,1,Columbia,53.424
2015,9,1,Columbia,53.424
2013,5,2,Columbia,76.8
2016,2,2,Columbia,38.4
2016,2,2,Denmark,0.0
2014,6,1,Columbia,205.7304
2016,2,2,Columbia,1382.4
2013,6,4,Finland,1247425.92
2013,3,1,Argentina,234360.0
2015,3,2,Denmark,54986.828
2014,4,2,Denmark,-962582.7136
2014,9,1,Columbia,178.08
2013,9,4,Finland,2356248.96
2013,6,2,Columbia,0.0
2015,4,4,Finland,2121738.983
2013,10,1,Columbia,41.146080000000005
2016,12,3,Columbia,0.0
2013,1,4,Finland,10388285.855999999
2013,7,1,Argentina,1124928.0
2014,2,2,Columbia,768.0
2016,2,3,Columbia,89.04
2014,7,4,Finland,1359144.8143
2014,10,2,Columbia,384.0
2013,3,4,Finland,1489980.96
2016,2,1,Columbia,106.848
2013,10,2,Columbia,307.2
2013,3,4,England,295523.95499999996
2014,12,2,Columbia,76.8
2015,6,2,Columbia,76.8
2013,5,2,Columbia,460.8
2015,1,2,Denmark,0.0
2013,5,1,Columbia,267.44952
2015,12,2,Denmark,204314199.2448
2014,9,4,England,18185.814000000002
2013,10,1,Columbia,61.719120000000004
2014,11,1,Argentina,488250.0
2014,11,2,Argentina,11827.715199999999
2014,10,2,Argentina,35483.145599999996
2013,4,2,Denmark,-39688.582800000004
2016,1,3,Argentina,312480.0
2015,9,5,England,43844.5755
2015,12,2,Denmark,0.0
2014,6,2,Columbia,192.0
2013,6,2,Columbia,0.0
2016,1,2,Denmark,31924093.632000003
2014,12,3,Columbia,17.808
2014,1,2,Columbia,384.0
2013,1,1,Columbia,61.719120000000004
2013,4,2,Columbia,384.0
2014,6,1,Argentina,50778.0
2014,7,1,Argentina,511686.0
2015,1,3,Columbia,22.858800000000002
2015,2,1,Columbia,17.808
2014,8,2,Columbia,921.6
2013,4,2,Denmark,598495.7328
2015,7,5,England,1388442.3029999998
2013,11,4,Finland,35898145.919999994
2016,8,3,Columbia,712.32
2013,10,2,Columbia,384.0
2015,4,2,Denmark,0.0
2016,3,2,Denmark,0.0
2015,9,1,Columbia,89.04
2014,9,2,Denmark,0.0
2015,4,2,Columbia,307.2
2014,6,1,Columbia,144.01128
2015,3,1,Columbia,178.08
2013,1,2,Denmark,-122598.0412
2014,3,4,Finland,1282076.64
2015,8,2,Denmark,0.0
2013,7,4,England,90929.06999999999
2016,1,3,Columbia,0.0
2016,7,3,Columbia,178.08
2013,7,4,Finland,25010889.695999995
2015,9,2,Columbia,153.6
2014,3,5,England,3311245.5749999997
2013,1,4,Finland,3901671.0719999997
2013,11,2,Denmark,2194484.3536
2016,1,3,Argentina,390600.0
2015,7,4,Finland,6935117.02
2013,9,2,Columbia,384.0
2015,10,4,Finland,904476.8356
2015,10,2,Argentina,5913.857599999999
2015,5,2,Columbia,268.8
2013,1,2,Columbia,384.0
2015,7,2,Denmark,0.0
2015,7,1,Columbia,35.616
2014,3,2,Denmark,0.0
2015,5,5,England,2090123.8649999998
2015,8,2,Columbia,153.6
2013,7,2,Columbia,192.0
2016,1,2,Columbia,1075.2
2014,2,2,Denmark,0.0
2013,6,4,Finland,18947013.696
2016,3,2,Argentina,29569.288
2014,9,2,Argentina,5913.857599999999
2016,2,2,Columbia,230.4
2015,5,2,Columbia,499.2
2014,6,2,Denmark,0.0
2015,10,2,Denmark,-52368.382
2015,5,4,Finland,9020544.936
2014,7,2,Argentina,23655.430399999997
2013,5,1,Columbia,20.573040000000002
2013,6,2,Columbia,576.0
2015,7,2,Denmark,0.0
2014,10,4,Finland,24249.087199999998
2013,2,4,England,45464.534999999996
2016,2,1,Columbia,178.08
2015,10,2,Denmark,0.0
2013,9,2,Columbia,576.0
2014,3,2,Belgium,1058951.432
2016,2,2,Denmark,0.0
2015,9,2,Columbia,153.6
2014,10,2,Columbia,230.4
2014,2,1,Argentina,27342.0
2014,9,5,England,14716.646999999999
2016,3,2,Columbia,1344.0
2015,10,3,Columbia,17.808
2015,1,5,England,194896.62
2016,1,2,Columbia,192.0
2015,11,1,Argentina,15624.0
2014,3,4,England,486476.793
2014,4,4,Finland,7698968.079399999
2013,9,1,Columbia,822.9216
2015,2,4,Finland,38676684.488
2014,11,1,Columbia,178.08
2015,4,2,Denmark,-157105.146
2014,9,1,Columbia,178.08
2014,12,2,Columbia,422.40000000000003
2014,11,2,Denmark,157105.146
2015,11,2,Denmark,0.0
2016,3,1,Columbia,890.4
2014,2,1,Columbia,308.5956
2014,8,1,Columbia,89.04
2013,6,2,Columbia,76.8
2015,3,2,Columbia,499.2
2014,9,1,Columbia,89.04
2014,2,1,Columbia,41.146080000000005
2013,10,1,Columbia,102.8652
2014,11,1,Columbia,142.464
2015,7,1,Columbia,356.16
2016,11,3,Columbia,0.0
2015,12,2,Denmark,1596204.6816
2013,3,2,Belgium,529475.716
2013,5,1,Argentina,351540.0
2016,1,3,Columbia,68.57639999999999
2014,4,4,Finland,54559.6441
2013,10,1,Argentina,35154.0
2014,11,1,Columbia,71.232
2015,4,2,Columbia,268.8
2015,3,2,Denmark,0.0
2013,5,1,Columbia,82.29216000000001
2013,12,1,Columbia,185.15736
2015,2,2,Denmark,0.0
2015,12,2,Argentina,41397.0032
2014,11,2,Denmark,0.0
2013,3,1,Columbia,123.43824000000001
2014,7,2,Denmark,52368.382
2015,12,1,Columbia,71.232
2015,10,2,Columbia,38.4
2016,3,2,Denmark,-62636.3272
2015,6,1,Columbia,89.04
2013,12,2,Columbia,0.0
2015,2,3,Columbia,35.616
2015,1,2,Denmark,13196838.719999999
2013,5,2,Columbia,38.4
2013,6,5,England,49057.281
2015,9,2,Columbia,384.0
2014,4,2,Columbia,499.2
2015,9,3,Argentina,781200.0
2013,3,1,Columbia,308.5956
2014,12,2,Argentina,70966.29119999999
2014,6,2,Columbia,0.0
2015,3,5,England,-1.791
2014,4,1,Argentina,140616.0
2015,12,2,Columbia,384.0
2013,6,2,Columbia,384.0
2014,5,4,Finland,14622026.327999998
2013,10,1,Columbia,82.29216000000001
2014,10,2,Denmark,1047367.64
2015,7,4,Finland,2778901.1171999997
2016,2,3,Columbia,142.464
2013,10,1,Argentina,35154.0
2015,2,2,Argentina,-153760.29760000002
2013,6,2,Belgium,132368.929
2013,4,1,Columbia,82.29216000000001
2016,2,2,Denmark,0.0
2015,3,3,Columbia,35.616
2013,11,2,Denmark,0.0
2013,9,2,Denmark,13964900.432
2013,1,2,Columbia,0.0
2016,7,3,Columbia,35.616
2014,7,2,Columbia,460.8
2014,3,4,Finland,35510057.856
2015,6,2,Denmark,0.0
2013,2,2,Denmark,0.0
2015,2,2,Denmark,549868.28
2014,3,1,Columbia,205.7304
2013,10,1,Argentina,7812.0
2014,6,2,Columbia,460.8
2013,9,1,Argentina,117180.0
2014,10,2,Denmark,0.0
2014,10,5,England,4905.549
2015,6,4,Finland,7056378.498
2013,11,2,Columbia,153.6
2015,4,2,Columbia,2304.0
2014,6,1,Columbia,20.573040000000002
2014,12,2,Belgium,529475.716
2014,10,1,Argentina,781200.0
2015,5,2,Columbia,0.0
2016,2,2,Columbia,76.8
2015,5,1,Columbia,480.81600000000003
2014,9,4,Finland,6629584.296399999
2013,9,2,Denmark,997492.888
2015,4,2,Columbia,192.0
2013,11,1,Columbia,22.858800000000002
2013,4,2,Columbia,230.4
2015,1,2,Columbia,38.4
2013,7,1,Columbia,205.7304
2013,8,2,Belgium,264737.858
2014,7,1,Columbia,41.146080000000005
2013,12,2,Denmark,0.0
2013,12,1,Columbia,205.7304
2013,8,1,Argentina,308574.0
2015,6,1,Columbia,89.04
2014,7,1,Columbia,123.43824000000001
2015,7,2,Argentina,59138.576
2013,5,2,Argentina,23655.430399999997
2015,6,1,Columbia,160.272
2014,8,2,Argentina,425797.74720000004
2014,12,2,Columbia,-497.28000000000003
2016,5,3,Columbia,17.808
2015,5,2,Denmark,0.0
2014,5,2,Denmark,0.0
2014,6,2,Denmark,157105.146
2013,3,5,England,49054.59449999999
2013,7,1,Columbia,82.29216000000001
2014,10,2,Denmark,1047367.64
2013,5,1,Columbia,82.29216000000001
2014,7,2,Denmark,0.0
2013,7,1,Columbia,617.1912
2015,7,2,Denmark,0.0
2013,5,2,Denmark,35909743.967999995
2015,2,3,Argentina,976500.0
2014,1,4,Finland,15329478.527999997
2015,2,1,Columbia,17.808
2013,1,2,Denmark,299247.8664
2014,4,2,Denmark,-29197.798000000003
2014,6,2,Argentina,354831.456
2015,11,2,Denmark,0.0
2015,12,2,Columbia,76.8
2014,5,2,Denmark,0.0
2014,9,2,Denmark,1047367.64
2015,12,1,Columbia,35.616
2015,6,2,Columbia,307.2
2015,8,1,Argentina,136710.0
2016,1,3,Columbia,17.808
2013,2,4,Finland,415808.63999999996
2015,7,1,Columbia,267.12
2015,1,2,Columbia,38.4
2015,12,2,Columbia,537.6
2015,5,4,Finland,9614631.5304
2016,2,2,Denmark,0.0
2014,10,2,Denmark,0.0
2013,2,4,Finland,6112387.007999999
2014,12,5,England,2087826.9075
2014,9,1,Columbia,0.0
2013,7,2,Belgium,264737.858
2015,12,2,Columbia,38.4
2014,10,4,Finland,8002054.398
2015,12,2,Denmark,0.0
2013,10,2,Columbia,230.4
2014,4,2,Argentina,5913.857599999999
2015,9,4,Finland,8390062.251999998
2015,2,2,Denmark,0.0
2016,6,3,Columbia,890.4
2015,2,2,Columbia,192.0
2015,4,3,Columbia,17.808
2016,1,2,Denmark,0.0
2015,6,2,Columbia,1305.6000000000001
2015,3,4,England,45151.11
2015,1,4,Finland,1970205.4489
2013,7,1,Columbia,102.8652
2016,8,3,Argentina,54684.0
2013,3,2,Columbia,0.0
2015,3,2,Denmark,0.0
2015,2,2,Columbia,268.8
2013,8,2,Columbia,115.2
2014,8,2,Denmark,36657867.4
2016,8,3,Columbia,53.424
2013,9,1,Argentina,3906.0
2013,11,1,Columbia,411.4608
2013,7,2,Denmark,0.0
2013,7,4,Finland,2508712.1279999996
2015,2,5,England,146144.7045
2013,10,2,Denmark,0.0
2014,4,2,Columbia,153.6
2013,12,5,England,29432.3985
2013,10,1,Columbia,41.146080000000005
2016,2,2,Denmark,0.0
2014,5,1,Columbia,20.573040000000002
2014,2,2,Columbia,384.0
2016,3,1,Columbia,17.808
2015,7,1,Columbia,320.544
2014,11,2,Denmark,0.0
2014,7,2,Denmark,0.0
2013,10,2,Belgium,1191320.361
2015,8,3,Argentina,19530.0
2014,4,2,Columbia,115.2
2014,12,4,Finland,84531057.078
2015,6,2,Columbia,192.0
2013,7,1,Argentina,511686.0
2014,10,4,Finland,49079504.396
2015,7,5,England,146145.6
2015,1,1,Columbia,142.464
2013,8,1,Columbia,308.5956
2016,9,3,Columbia,35.616
2016,1,2,Columbia,38.4
2014,9,2,Denmark,0.0
2014,5,1,Columbia,102.8652
2015,10,3,Argentina,3749760.0
2014,6,2,Columbia,38.4
2014,7,1,Argentina,50778.0
2014,9,4,England,500118.84
2013,8,1,Argentina,54684.0
2015,7,1,Columbia,801.36
2013,4,2,Columbia,38.4
2016,7,3,Columbia,89.04
2015,10,1,Argentina,0.0
2014,7,2,Belgium,1985533.935
2014,12,4,Finland,16173865.239999998
2015,8,4,Finland,7783802.988
2014,4,2,Columbia,38.4
2014,7,1,Columbia,822.9216
2013,8,1,Columbia,41.146080000000005
2013,7,2,Denmark,0.0
2014,1,2,Belgium,529475.716
2015,9,4,Finland,8026325.943999999
2013,5,2,Denmark,49874.6444
2013,10,1,Columbia,0.0
2015,11,2,Columbia,153.6
2014,7,1,Columbia,20.573040000000002
2015,7,3,Columbia,35.616
2014,2,1,Argentina,609336.0
2015,7,3,Columbia,17.808
2015,11,1,Columbia,0.0
2016,3,1,Columbia,53.424
2016,3,2,Denmark,0.0
2015,11,2,Denmark,0.0
2014,8,1,Argentina,27342.0
2014,12,4,England,4515.111
2015,8,1,Argentina,11718.0
2014,6,1,Columbia,822.9216
2013,3,2,Denmark,0.0
2013,9,1,Columbia,61.719120000000004
2013,12,2,Columbia,76.8
2015,9,2,Columbia,38.4
2013,12,5,England,34338.84299999999
2013,3,2,Argentina,29569.288
2013,7,2,Denmark,0.0
2014,9,1,Columbia,53.424
2014,10,4,Finland,5698423.198
2013,4,1,Columbia,41.146080000000005
2014,7,4,England,34105.1175
2015,11,2,Denmark,199525.5852
2014,3,2,Belgium,794213.574
2015,2,1,Argentina,117180.0
2014,9,5,England,19623.986999999997
2014,11,1,Columbia,178.08
2014,9,4,England,929753.7705
2014,9,4,Finland,15955661.955999998
2015,11,2,Denmark,0.0
2016,3,1,Columbia,89.04
2013,4,2,Denmark,0.0
2014,1,2,Denmark,0.0
2014,3,1,Columbia,45.717600000000004
2015,10,2,Denmark,66508.5284
2015,3,1,Columbia,17.808
2015,7,2,Denmark,878414.9808
2013,3,1,Columbia,370.31472
2015,10,2,Denmark,-52368.382
2015,7,1,Argentina,3906.0
2013,7,1,Argentina,351540.0
2014,6,1,Columbia,411.4608
2015,7,2,Columbia,614.4
2013,2,1,Columbia,246.87648000000002
2014,12,4,Finland,1624653.5499999998
2014,9,1,Columbia,267.12
2013,6,4,England,1113885.585
2016,2,2,Columbia,192.0
2014,9,2,Columbia,384.0
2014,8,1,Argentina,23436.0
2013,11,1,Argentina,781200.0
2013,10,2,Columbia,153.6
2013,10,2,Columbia,192.0
2013,2,1,Columbia,1028.652
2015,10,2,Columbia,268.8
2014,9,1,Columbia,17.808
2016,1,2,Columbia,691.2
2014,4,2,Denmark,0.0
2014,7,4,Finland,34966699.274
2013,7,5,England,73583.235
2014,2,2,Columbia,38.4
2014,2,1,Columbia,41.146080000000005
2015,8,5,England,633360.2849999999
2015,6,2,Denmark,0.0
2013,9,2,Denmark,0.0
2015,11,2,Denmark,0.0
2014,11,1,Columbia,53.424
2015,9,2,Columbia,153.6
2013,4,1,Columbia,411.4608
2013,5,4,Finland,41580.863999999994
2015,8,2,Columbia,153.6
2013,7,1,Columbia,20.573040000000002
2015,1,1,Columbia,0.0
2013,8,1,Columbia,61.719120000000004
2014,9,1,Columbia,106.848
2015,1,2,Denmark,-196007.60319999998
2013,10,1,Columbia,123.43824000000001
2013,6,1,Columbia,61.719120000000004
2015,10,2,Denmark,-52368.382
2015,7,3,Columbia,35.616
2014,8,1,Argentina,3245886.0
2015,1,4,Finland,2570358.3255999996
2013,1,2,Denmark,0.0
2014,7,2,Denmark,0.0
2015,1,1,Columbia,17.808
2014,1,4,Finland,6264850.176
2014,8,2,Columbia,38.4
2013,8,4,Finland,1187826.6815999998
2014,2,2,Denmark,0.0
2014,2,2,Columbia,384.0
2014,7,1,Columbia,205.7304
2015,12,2,Columbia,729.6
2014,11,3,Columbia,267.12
2015,1,1,Columbia,178.08
2014,9,2,Denmark,0.0
2013,11,1,Columbia,205.7304
2013,1,1,Columbia,308.5956
2015,7,2,Denmark,0.0
2015,3,1,Columbia,87.81792
2015,7,2,Columbia,307.2
2014,8,2,Columbia,115.2
2015,4,5,England,146172.465
2014,11,1,Columbia,17.808
2014,8,2,Columbia,38.4
2014,8,1,Columbia,89.04
2014,7,1,Columbia,205.7304
2013,10,2,Columbia,576.0
2014,1,2,Denmark,3142102.92
2013,2,2,Columbia,38.4
2014,3,4,England,9093.8025
2014,11,1,Columbia,53.424
